界面分类,界面名称,分组(模块/应用),图片对应功能,MTZ顶层模块,模块内路径,宽,高,九宫格.9.png,关键槽位
statusbar,状态栏,系统界面(SystemUI) · 深色 nxhdpi,【状态栏】HD高清通话图标,com.android.systemui,nightmode/res/drawable-nxhdpi/stat_sys_signal_hd_notch_darkmode.png,1,1,,
statusbar,状态栏,系统界面(SystemUI) · 深色 nxhdpi,【状态栏】数据上下行箭头,com.android.systemui,nightmode/res/drawable-nxhdpi/stat_sys_signal_in.png,20,60,,
statusbar,状态栏,系统界面(SystemUI) · 深色 nxhdpi,【状态栏】数据上下行箭头,com.android.systemui,nightmode/res/drawable-nxhdpi/stat_sys_signal_in_darkmode.png,20,60,,
statusbar,状态栏,系统界面(SystemUI) · 深色 nxhdpi,【状态栏】数据上下行箭头,com.android.systemui,nightmode/res/drawable-nxhdpi/stat_sys_signal_in_half.png,62,16,,
statusbar,状态栏,系统界面(SystemUI) · 深色 nxhdpi,【状态栏】数据上下行箭头,com.android.systemui,nightmode/res/drawable-nxhdpi/stat_sys_signal_in_half_darkmode.png,62,16,,
statusbar,状态栏,系统界面(SystemUI) · 深色 nxhdpi,【状态栏】数据上下行箭头,com.android.systemui,nightmode/res/drawable-nxhdpi/stat_sys_signal_in_left.png,20,60,,
statusbar,状态栏,系统界面(SystemUI) · 深色 nxhdpi,【状态栏】数据上下行箭头,com.android.systemui,nightmode/res/drawable-nxhdpi/stat_sys_signal_in_left_darkmode.png,20,60,,
statusbar,状态栏,系统界面(SystemUI) · 深色 nxhdpi,【状态栏】数据上下行箭头,com.android.systemui,nightmode/res/drawable-nxhdpi/stat_sys_signal_inout.png,20,60,,
statusbar,状态栏,系统界面(SystemUI) · 深色 nxhdpi,【状态栏】数据上下行箭头,com.android.systemui,nightmode/res/drawable-nxhdpi/stat_sys_signal_inout_darkmode.png,20,60,,
statusbar,状态栏,系统界面(SystemUI) · 深色 nxhdpi,【状态栏】数据上下行箭头,com.android.systemui,nightmode/res/drawable-nxhdpi/stat_sys_signal_inout_half.png,62,16,,
statusbar,状态栏,系统界面(SystemUI) · 深色 nxhdpi,【状态栏】数据上下行箭头,com.android.systemui,nightmode/res/drawable-nxhdpi/stat_sys_signal_inout_half_darkmode.png,62,16,,
statusbar,状态栏,系统界面(SystemUI) · 深色 nxhdpi,【状态栏】数据上下行箭头,com.android.systemui,nightmode/res/drawable-nxhdpi/stat_sys_signal_inout_left.png,20,60,,
statusbar,状态栏,系统界面(SystemUI) · 深色 nxhdpi,【状态栏】数据上下行箭头,com.android.systemui,nightmode/res/drawable-nxhdpi/stat_sys_signal_inout_left_darkmode.png,20,60,,
statusbar,状态栏,系统界面(SystemUI) · 深色 nxhdpi,【状态栏】信号状态图标,com.android.systemui,nightmode/res/drawable-nxhdpi/stat_sys_signal_null.png,55,60,,
statusbar,状态栏,系统界面(SystemUI) · 深色 nxhdpi,【状态栏】信号状态图标,com.android.systemui,nightmode/res/drawable-nxhdpi/stat_sys_signal_null_darkmode.png,55,60,,
statusbar,状态栏,系统界面(SystemUI) · 深色 nxhdpi,【状态栏】信号状态图标,com.android.systemui,nightmode/res/drawable-nxhdpi/stat_sys_signal_null_half.png,55,16,,
statusbar,状态栏,系统界面(SystemUI) · 深色 nxhdpi,【状态栏】信号状态图标,com.android.systemui,nightmode/res/drawable-nxhdpi/stat_sys_signal_null_half_darkmode.png,55,16,,
statusbar,状态栏,系统界面(SystemUI) · 深色 nxhdpi,【状态栏】数据上下行箭头,com.android.systemui,nightmode/res/drawable-nxhdpi/stat_sys_signal_out.png,20,60,,
statusbar,状态栏,系统界面(SystemUI) · 深色 nxhdpi,【状态栏】数据上下行箭头,com.android.systemui,nightmode/res/drawable-nxhdpi/stat_sys_signal_out_darkmode.png,20,60,,
statusbar,状态栏,系统界面(SystemUI) · 深色 nxhdpi,【状态栏】数据上下行箭头,com.android.systemui,nightmode/res/drawable-nxhdpi/stat_sys_signal_out_half.png,62,16,,
statusbar,状态栏,系统界面(SystemUI) · 深色 nxhdpi,【状态栏】数据上下行箭头,com.android.systemui,nightmode/res/drawable-nxhdpi/stat_sys_signal_out_half_darkmode.png,62,16,,
statusbar,状态栏,系统界面(SystemUI) · 深色 nxhdpi,【状态栏】数据上下行箭头,com.android.systemui,nightmode/res/drawable-nxhdpi/stat_sys_signal_out_left.png,20,60,,
statusbar,状态栏,系统界面(SystemUI) · 深色 nxhdpi,【状态栏】数据上下行箭头,com.android.systemui,nightmode/res/drawable-nxhdpi/stat_sys_signal_out_left_darkmode.png,20,60,,
statusbar,状态栏,系统界面(SystemUI) · 深色 nxhdpi,【状态栏】信号状态图标,com.android.systemui,nightmode/res/drawable-nxhdpi/stat_sys_signal_upgrade.png,18,56,,
statusbar,状态栏,系统界面(SystemUI) · 深色 nxhdpi,【状态栏】信号状态图标,com.android.systemui,nightmode/res/drawable-nxhdpi/stat_sys_signal_upgrade_darkmode.png,18,56,,
statusbar,状态栏,系统界面(SystemUI) · 深色 nxhdpi,【状态栏】VoLTE图标,com.android.systemui,nightmode/res/drawable-nxhdpi/stat_sys_signal_volte.png,48,56,,
